Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/07/2022,"Lowes CC         LWS EPAY   674295810       WEB ID: 9069872103",-95.29,ACH_DEBIT, ,,
DEBIT,03/30/2022,"HUNTINGTON BANKS IL PAYMENT 20054879393     WEB ID: 9000044231",-405.87,ACH_DEBIT, ,,
DEBIT,03/30/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,03/29/2022,"COMENITY PAY BH  WEB PYMT   P22087885325068 WEB ID: 1651180275",-87.44,ACH_DEBIT, ,,
DEBIT,03/24/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1129.87,ACH_DEBIT, ,,
CHECK,03/14/2022,"CHECK 1017  ",-500.00,CHECK_PAID, ,1017,
DEBIT,03/04/2022,"HUNTINGTON BANKS IL PAYMENT 20054879393     WEB ID: 9000044231",-405.87,ACH_DEBIT, ,,
DEBIT,03/04/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,03/02/2022,"HOME DEPOT       AUTO PYMT  720660029310123 WEB ID: CITIAUTFDR",-9.93,ACH_DEBIT, ,,
DEBIT,03/01/2022,"COMENITY PAY BH  WEB PYMT   P22059879960276 WEB ID: 1651180275",-166.76,ACH_DEBIT, ,,
DEBIT,02/24/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-793.52,ACH_DEBIT, ,,
DEBIT,02/22/2022,"MOON TWP MUNICIP DIRECT DB                  PPD ID: 9642300001",-212.25,ACH_DEBIT, ,,
DEBIT,02/01/2022,"HUNTINGTON BANKS IL PAYMENT 20054879393     WEB ID: 9000044231",-405.87,ACH_DEBIT, ,,
DEBIT,02/01/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,01/31/2022,"COMENITY PAY BH  WEB PYMT   P22028873948272 WEB ID: 1651180275",-260.84,ACH_DEBIT, ,,
DEBIT,01/24/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1642.69,ACH_DEBIT, ,,
DEBIT,01/18/2022,"HUNTINGTON BANKS IL PAYMENT 20054879393     WEB ID: 9000044231",-405.87,ACH_DEBIT, ,,
DEBIT,01/18/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
